Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,109.528,368,2829,216,596,1633,374,2,5998,6337,6428,6751
2,185.86,417,3367,269,492,1656,647,2,6752,7618,7934,8559
3,228.144,531,4274,309,605,1670,691,3,7975,9198,9647,10570
4,257.438,605,5270,491,636,1705,867,3,9410,11444,12213,13744
5,284.665,656,6620,731,748,1751,1002,4,11225,14495,15515,17956
6,306.184,735,7090,1229,882,1853,1228,4,12675,16976,18187,20717
7,306.516,789,7793,2003,1145,1999,1625,4,15080,19886,21372,24190
8,331.822,755,8010,2726,1384,2153,1857,4,16678,21920,23634,26997
9,331.673,819,8760,3133,1407,2226,2322,4,18518,24280,25904,29119
10,331.782,819,9133,4214,1868,2620,2918,4,21684,27410,28827,31985
11,331.39,852,9488,4838,2742,3148,3422,4,24867,30253,31907,35089
12,361.237,754,9206,5548,3168,3586,3663,4,26198,31755,33652,37390
13,362.428,744,9374,6571,3305,3887,4205,4,28171,34364,36268,39787
14,361.408,811,9814,7235,3294,4043,4794,4,30052,36120,37930,41496
15,361.459,801,10339,8004,3828,4417,5249,4,32706,39534,41576,45501
16,361.286,797,10785,8591,4292,4685,5785,4,34880,42284,44511,49195
17,378.618,788,11214,9292,4635,5109,6203,4,37130,45216,47755,52357
18,379.187,820,11453,9563,5234,5353,6582,4,38886,47271,49751,54839
19,377.963,918,11982,10025,6197,5661,7286,5,41993,50444,52867,57730
20,378.146,835,11896,10649,6069,6038,7788,4,43312,51670,54050,58783
21,378.403,824,12126,11177,6137,6244,8624,4,45038,53382,55785,60572
22,396.923,902,12572,11225,6559,6389,8823,5,46383,54984,57541,62436
23,397.594,879,12745,12078,6768,6650,9382,4,48454,56546,59185,64604
24,396.096,907,13116,12401,7327,6794,9787,4,50463,58087,60723,65859
25,417.7,853,12869,12452,7021,6884,9762,4,49893,58387,60924,65600
26,417.727,871,13065,13164,7427,7040,10361,4,51841,59904,62146,66464
27,441.493,870,13320,13365,7972,7131,10366,4,52926,61190,63681,68265
28,417.872,951,13972,13499,8556,7283,10887,5,55209,63412,65895,71141
29,468.13,847,13600,13122,8892,7490,9914,4,53502,62408,65668,71997
30,467.195,839,13716,14088,9479,7664,10665,4,56231,63995,66185,71117
31,440.796,915,14308,15548,10204,7732,11230,5,59550,68283,70752,77379
32,441.348,910,14314,16737,10391,7849,11389,5,61478,70239,72782,78230
