Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,96.0903,310,3113,208,852,1175,502,1,5840,7455,8066,9569
2,138.661,392,4366,422,1622,1211,971,2,8771,10929,12136,15477
3,178.127,637,5240,553,1354,1242,740,2,9356,12077,13149,15368
4,226.298,541,5508,784,1427,1320,817,2,9962,13293,14522,17613
5,248.82,617,7693,1089,1509,1430,976,2,12866,17180,18803,22880
6,275.614,680,7929,1402,1535,1477,981,2,13458,18723,20524,24527
7,276.516,797,8033,1975,1770,1553,1282,3,14849,20631,22407,25997
8,309.977,765,8776,2303,1875,1637,1362,3,16116,22602,24850,29011
9,311.044,784,9750,3128,2319,1825,1762,3,18730,27307,30062,35667
10,310.675,804,9680,3738,2740,1995,1995,3,20257,29397,31497,36004
11,310.538,816,10057,4809,4243,2565,2558,4,24865,33819,35914,41502
12,311.228,835,10472,5977,5015,2922,3252,3,28960,36987,39606,44727
13,311.085,813,10130,6917,5937,3338,3916,3,31590,39295,42159,47812
14,311.897,832,10523,7777,6066,3553,4408,3,33171,42325,45175,52328
15,310.466,913,11891,8183,6828,3802,5414,3,36581,48195,51668,60261
16,311.785,941,12200,8622,7410,4117,5649,3,37895,50694,54719,63654
17,310.204,936,12861,9439,7960,4411,6556,3,40592,57162,61470,69735
18,309.372,892,12939,10278,7971,4798,8053,3,43376,59206,63539,71220
19,310.704,875,12890,10629,8403,5290,8658,3,46176,60062,64273,74941
20,310.431,925,13590,11193,9007,5680,9859,3,50496,64401,67968,74806
21,311.019,970,14175,12411,9760,6120,10465,3,54113,66150,69362,79271
22,311.76,927,14530,14369,10494,6579,11643,3,58719,72042,76139,84347
23,310.95,957,14861,14329,10223,6574,11688,3,58075,71067,75302,88228
24,309.681,947,14917,14439,10590,6706,11708,3,58566,71543,75690,84560
25,353.143,923,14517,14982,11043,6811,11134,3,59251,71827,75946,85495
26,354.746,910,14313,15393,12373,6938,10562,3,60324,71649,76279,85444
27,354.116,887,14551,16036,12897,7155,10798,3,62188,74354,78071,84984
28,355.11,916,14408,15204,12732,7322,9899,3,60148,71605,75368,85890
29,413.825,896,14220,14347,12736,7561,10034,3,59286,69443,72750,80559
30,414.244,885,14563,15235,13514,7813,10422,3,62241,71979,76043,84153
31,414.811,907,14669,16325,13767,7927,10789,4,63231,76608,80886,89023
32,354.692,921,15968,20523,15496,8094,11800,3,72257,84653,88858,97359
