Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,72.7135,420,3069,219,954,4053,604,3,9309,9614,9727,9848
2,133.159,630,3842,250,804,2725,1082,3,9373,9916,10209,10790
3,159.526,756,5853,522,1086,2754,1261,4,12089,13741,14336,16151
4,159.469,922,8250,1222,1395,2974,1674,5,16249,19483,20576,23038
5,159.419,1044,11481,1734,1736,3216,1950,6,21030,26036,27698,30238
6,159.18,1195,12874,2769,2185,3652,2305,4,24731,31926,34071,37144
7,158.429,1362,14532,3704,2737,3981,2735,5,29060,36560,38923,44687
8,157.761,1593,16530,4658,3064,4538,3048,10,33110,42819,45454,51223
9,158.558,1584,18260,4980,3634,4843,3383,5,36710,49565,53268,64576
10,157.476,1740,20147,6108,3936,4960,3684,8,39640,53598,58842,68616
11,157.851,1944,23403,6285,4344,5287,4367,5,45373,59159,65188,79615
12,158.539,2156,26177,6371,4460,5483,4389,5,49117,66318,71820,84906
13,153.905,2357,26540,7510,5112,5972,5256,6,52974,70187,76717,91273
14,154.174,2614,29712,7334,4848,5739,4982,5,54726,76006,85201,105020
15,152.837,2813,32762,7504,5549,6329,5547,14,59445,83884,95295,115070
16,149.961,3232,34492,7888,5445,5996,5127,5,60553,87702,97381,117359
17,152.654,3077,37848,8532,6234,6561,5962,6,68184,95931,104061,122190
18,153.874,3340,40216,9051,5993,6977,6806,8,71095,101204,109509,132738
19,149.769,3754,40780,9947,6700,6953,6742,6,73719,104001,113873,135570
20,152.821,3834,41691,10224,6700,7492,7447,17,77290,106126,117466,133804
21,149.799,3844,46171,9814,7155,7239,6456,10,78756,117458,127915,170970
22,151.869,4000,53035,9037,6007,6861,6799,5,80982,128159,144085,180954
23,149.759,4217,59012,7957,5213,5900,5568,10,84884,130214,143368,173632
24,146.998,4947,55988,9689,6681,7231,7586,7,89488,136532,150882,201399
25,144.5,4623,61869,8370,5954,6563,6257,6,89574,149270,165211,225154
26,148.066,4718,64399,9734,6485,7259,7142,7,92798,159550,179107,222695
27,141.104,4659,67970,9419,6419,7105,6908,5,100416,147496,163612,221034
28,145.458,4954,75068,9220,6746,6678,6513,6,99389,173003,193369,266529
29,141.272,5497,76412,9099,6275,6781,6864,5,105375,166727,192313,240234
30,148.593,5366,72781,12446,8076,8273,8632,30,110486,169289,195766,239317
31,139.948,5750,81249,10595,7155,7089,8170,15,116252,186936,213161,254515
32,157.435,4920,83246,12218,8144,8029,8717,11,122315,194925,219478,275555
