Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,73.5095,437,3292,215,998,4465,682,3,10166,10432,10563,10759
2,138.646,648,3966,301,690,2670,1209,3,9430,10280,10581,11135
3,178.204,745,5289,325,838,2654,1192,4,10905,12220,12601,13424
4,191.618,836,6475,694,974,2681,1375,5,12777,14931,15657,17385
5,207.786,951,8380,1209,1254,2810,1564,5,15736,19680,21108,23935
6,226.658,1009,8885,1969,1482,2942,1813,6,17749,22558,24020,27470
7,226.266,1094,9388,3372,1966,3230,2220,6,21098,25994,27255,30186
8,225.701,1104,10048,4826,2608,3636,2717,6,25244,30880,32069,34844
9,226.173,1101,10571,6329,3536,4294,3247,7,29338,35829,37495,40831
10,225.805,1146,10851,8325,4728,5197,3993,6,34867,41352,43036,46306
11,207.159,1193,11089,10184,6393,6396,4758,6,40887,47475,48962,51797
12,226.279,1247,11785,10502,6461,6759,5721,6,43268,49826,51685,55536
13,225.574,1269,12443,11284,6829,7219,6754,6,45740,54349,57142,62254
14,224.697,1317,13140,12684,7164,7483,7446,6,49093,58473,61399,66027
15,225.638,1356,14309,12732,8044,8360,8802,7,53031,63974,67690,74868
16,225.445,1389,15192,13461,8942,8936,9674,7,56837,68962,72199,78313
17,226.103,1456,16070,14249,9767,9486,10768,7,60907,74685,77874,83805
18,226.434,1453,16697,15354,10406,9682,10995,7,63014,77381,80651,88257
19,225.564,1479,17251,15959,10797,10560,12688,7,67554,81841,85153,91345
20,224.584,1551,18333,16738,11267,11425,14250,8,73531,86369,89082,95347
21,225.117,1510,18388,18675,12057,11450,14120,7,76072,88144,91878,100247
22,225.755,1534,18496,20194,12788,12057,15466,7,80148,92443,96208,103224
23,225.639,1563,19357,21149,13524,12541,16355,7,83975,95530,99138,107930
24,225.75,1595,19794,21542,13982,12686,17223,7,87033,96722,100153,107845
25,224.319,1619,20131,23693,14081,12923,17645,7,90209,100074,103480,111634
26,224.532,1617,20727,24680,15848,13235,17265,7,93261,104850,107933,115752
27,225.755,1692,21544,24553,17180,13350,17107,8,95169,107550,112377,119700
28,247.934,1716,21986,25118,18438,13653,17189,7,98084,108119,112386,120384
29,246.627,1767,23066,25588,19534,13935,16827,7,100938,109120,112296,119694
30,248.187,1742,22508,29004,20135,14106,17002,8,104626,113651,116965,125415
31,247.122,1775,23187,31086,20458,14278,17993,7,108849,118087,121854,128977
32,246.543,1802,23108,33162,21614,14473,17063,7,110991,121352,124422,131462
